hypocenter_type	quality	year	month	day	hour	minute	second	latitude	longitude	depth	magnitude_1	magnitude_2	region	eventname
SWEM	B	2000	8	16	21	24	48.00	75.5000	-59.5000	10.0	0.0	4.9	WESTERNGREENLAND	200008162124A

SWEM	E	2000	8	20	11	1	4.00	70.7500	-35.7500	10.0	0.0	4.9	EASTERNGREENLAND	200008201101A

SWEM	E	2000	9	2	19	58	40.00	68.7500	-33.7500	10.0	0.0	4.9	EASTERNGREENLAND	200009021958A

SWEM	C	2000	9	4	11	57	28.00	66.5000	-41.5000	10.0	0.0	4.8	WESTERNGREENLAND	200009041157A

SWEM	B	2000	9	15	7	4	32.00	66.2500	-37.7500	10.0	0.0	4.8	EASTERNGREENLAND	200009150704A

SWEM	C	2000	9	17	2	18	8.00	73.5000	-56.5000	10.0	0.0	4.8	WESTERNGREENLAND	200009170218A

SWEM	C	2000	10	20	2	1	4.00	69.0000	-33.0000	10.0	0.0	4.9	EASTERNGREENLAND	200010200201A

SWEM	E	2000	12	14	6	50	8.00	69.0000	-33.0000	10.0	0.0	4.9	EASTERNGREENLAND	200012140650A

SWEM	C	2001	2	7	5	36	8.00	65.7500	-37.7500	10.0	0.0	4.8	EASTERNGREENLAND	200102070536A

SWEM	B	2001	7	2	1	14	24.00	72.7500	-54.2500	10.0	0.0	4.7	WESTERNGREENLAND	200107020114A

SWEM	C	2001	7	6	3	25	44.00	66.5000	-38.5000	10.0	0.0	4.8	EASTERNGREENLAND	200107060325A

SWEM	B	2001	8	11	6	27	28.00	75.7500	-59.2500	10.0	0.0	4.8	WESTERNGREENLAND	200108110627A

SWEM	B	2001	9	3	13	1	12.00	68.5000	-34.5000	10.0	0.0	4.9	EASTERNGREENLAND	200109031301A

SWEM	B	2001	10	1	16	37	36.00	68.7500	-33.7500	10.0	0.0	4.9	EASTERNGREENLAND	200110011637A

SWEM	C	2001	10	24	17	24	56.00	72.5000	-54.5000	10.0	0.0	4.6	WESTERNGREENLAND	200110241724A

SWEM	B	2001	11	29	2	46	40.00	67.7500	-32.2500	10.0	0.0	5.0	EASTERNGREENLAND	200111290246B

SWEM	E	2001	12	1	16	56	8.00	65.7500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200112011656A

SWEM	C	2001	12	20	7	27	4.00	69.0000	-27.0000	10.0	0.0	4.8	EASTERNGREENLAND	200112200727A

SWEM	B	2001	12	21	3	13	36.00	72.7500	-53.7500	10.0	0.0	4.8	WESTERNGREENLAND	200112210313A

SWEM	E	2001	12	25	6	4	56.00	67.2500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200112250604A

SWEM	B	2001	12	26	19	39	52.00	66.2500	-38.7500	10.0	0.0	4.7	EASTERNGREENLAND	200112261939A

SWEM	A	2001	12	28	17	19	36.00	68.7500	-33.2500	10.0	0.0	5.0	EASTERNGREENLAND	200112281719A

SWEM	C	2002	2	27	15	43	4.00	69.5000	-30.5000	10.0	0.0	4.9	EASTERNGREENLAND	200202271543A

SWEM	A	2002	4	4	22	49	4.00	68.7500	-33.2500	10.0	0.0	4.9	EASTERNGREENLAND	200204042249A

SWEM	C	2002	4	19	21	50	8.00	67.2500	-38.2500	10.0	0.0	4.7	EASTERNGREENLAND	200204192150A

SWEM	B	2002	5	1	10	13	44.00	66.2500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200205011013A

SWEM	B	2002	5	12	18	6	24.00	66.7500	-38.7500	10.0	0.0	4.7	EASTERNGREENLAND	200205121806A

SWEM	C	2002	6	8	4	31	44.00	66.2500	-38.2500	10.0	0.0	4.7	EASTERNGREENLAND	200206080431A

SWEM	C	2002	6	8	18	2	16.00	66.2500	-38.2500	10.0	0.0	4.7	EASTERNGREENLAND	200206081802A

SWEM	B	2002	6	18	22	2	8.00	73.2500	-57.2500	10.0	0.0	4.8	BAFFINBAY	200206182202A

SWEM	A	2002	7	14	5	18	32.00	73.0000	-55.0000	10.0	0.0	4.8	WESTERNGREENLAND	200207140518B

SWEM	C	2002	7	19	0	42	16.00	75.0000	-57.0000	10.0	0.0	4.7	WESTERNGREENLAND	200207190042A

SWEM	B	2002	8	3	10	13	4.00	66.7500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200208031013A

SWEM	A	2002	9	20	2	0	16.00	68.5000	-33.5000	10.0	0.0	4.9	EASTERNGREENLAND	200209200200A

SWEM	C	2002	9	26	3	46	16.00	69.0000	-33.0000	10.0	0.0	4.8	EASTERNGREENLAND	200209260346A

SWEM	C	2002	10	2	22	25	44.00	76.5000	-63.5000	10.0	0.0	4.8	WESTERNGREENLAND	200210022225A

SWEM	B	2002	11	14	12	50	56.00	75.7500	-59.2500	10.0	0.0	4.8	WESTERNGREENLAND	200211141250A

SWEM	E	2003	1	27	14	26	48.00	69.5000	-32.5000	10.0	0.0	4.8	EASTERNGREENLAND	200301271426A

SWEM	C	2003	2	3	21	44	0.00	68.5000	-32.5000	10.0	0.0	5.0	EASTERNGREENLAND	200302032144A

SWEM	B	2003	2	17	19	30	40.00	71.5000	-52.5000	10.0	0.0	4.8	WESTERNGREENLAND	200302171930A

SWEM	A	2003	3	10	21	17	36.00	75.5000	-57.5000	10.0	0.0	4.9	WESTERNGREENLAND	200303102117B

SWEM	B	2003	3	26	9	21	4.00	75.7500	-57.7500	10.0	0.0	4.7	WESTERNGREENLAND	200303260921A

SWEM	C	2003	4	1	8	29	44.00	71.0000	-53.0000	10.0	0.0	4.8	WESTERNGREENLAND	200304010829A

SWEM	A	2003	7	26	4	41	44.00	72.2500	-28.7500	10.0	0.0	4.8	EASTERNGREENLAND	200307260441A

SWEM	C	2003	8	3	23	40	40.00	66.2500	-37.7500	10.0	0.0	4.9	EASTERNGREENLAND	200308032340A

SWEM	B	2003	8	5	14	0	24.00	68.5000	-33.5000	10.0	0.0	4.8	EASTERNGREENLAND	200308051400A

SWEM	B	2003	8	13	8	51	12.00	68.2500	-34.7500	10.0	0.0	5.0	EASTERNGREENLAND	200308130851B

SWEM	C	2003	8	14	23	30	24.00	75.0000	-57.0000	10.0	0.0	4.7	WESTERNGREENLAND	200308142330A

SWEM	C	2003	8	30	5	49	28.00	75.7500	-58.7500	10.0	0.0	4.7	WESTERNGREENLAND	200308300549A

SWEM	A	2003	9	20	20	31	20.00	75.7500	-60.2500	10.0	0.0	4.8	BAFFINBAY	200309202031A

SWEM	B	2003	9	24	1	1	12.00	69.2500	-32.2500	10.0	0.0	4.8	EASTERNGREENLAND	200309240101A

SWEM	B	2003	9	24	1	32	0.00	69.2500	-32.7500	10.0	0.0	5.0	EASTERNGREENLAND	200309240132A

SWEM	B	2003	10	2	9	7	4.00	67.2500	-37.2500	10.0	0.0	4.8	EASTERNGREENLAND	200310020907A

SWEM	A	2003	10	5	3	7	52.00	68.5000	-33.5000	10.0	0.0	5.0	EASTERNGREENLAND	200310050307A

SWEM	B	2003	10	12	21	12	40.00	66.5000	-38.5000	10.0	0.0	4.9	EASTERNGREENLAND	200310122112A

SWEM	B	2003	10	18	16	10	56.00	68.5000	-33.5000	10.0	0.0	5.0	EASTERNGREENLAND	200310181610A

SWEM	B	2003	10	19	9	23	44.00	76.2500	-60.7500	10.0	0.0	4.8	WESTERNGREENLAND	200310190923A

SWEM	A	2003	11	9	4	17	52.00	66.2500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200311090417A

SWEM	E	2004	1	7	14	37	4.00	75.7500	-58.7500	10.0	0.0	4.7	WESTERNGREENLAND	200401071437A

SWEM	E	2004	1	27	6	15	52.00	68.2500	-33.7500	10.0	0.0	4.7	EASTERNGREENLAND	200401270615A

SWEM	C	2004	3	16	14	1	36.00	66.5000	-38.5000	10.0	0.0	4.6	EASTERNGREENLAND	200403161401A

SWEM	C	2004	4	11	4	7	36.00	73.0000	-55.0000	10.0	0.0	4.6	WESTERNGREENLAND	200404110407A

SWEM	B	2004	5	26	12	0	16.00	66.2500	-38.7500	10.0	0.0	4.8	EASTERNGREENLAND	200405261200A

SWEM	B	2004	6	3	4	38	48.00	75.7500	-59.2500	10.0	0.0	4.8	WESTERNGREENLAND	200406030438A

SWEM	A	2004	6	25	5	58	56.00	66.5000	-38.5000	10.0	0.0	4.9	EASTERNGREENLAND	200406250558A

SWEM	B	2004	6	25	6	5	28.00	66.2500	-38.7500	10.0	0.0	4.9	EASTERNGREENLAND	200406250605B

SWEM	B	2004	7	2	6	15	20.00	71.2500	-51.7500	10.0	0.0	4.8	WESTERNGREENLAND	200407020615A

SWEM	B	2004	7	6	10	15	12.00	66.2500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200407061015A

SWEM	C	2004	7	6	10	22	48.00	65.7500	-37.7500	10.0	0.0	4.7	EASTERNGREENLAND	200407061022A

SWEM	A	2004	7	21	12	33	36.00	66.7500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200407211233A

SWEM	C	2004	8	1	9	27	4.00	69.0000	-33.0000	10.0	0.0	4.8	EASTERNGREENLAND	200408010927A

SWEM	B	2004	8	11	7	22	40.00	66.7500	-39.2500	10.0	0.0	4.8	EASTERNGREENLAND	200408110722A

SWEM	B	2004	8	12	13	8	8.00	72.7500	-29.7500	10.0	0.0	4.9	EASTERNGREENLAND	200408121308A

SWEM	C	2004	8	13	19	34	0.00	66.2500	-38.2500	10.0	0.0	4.9	EASTERNGREENLAND	200408131934A

SWEM	B	2004	8	22	14	9	44.00	75.7500	-57.2500	10.0	0.0	4.7	WESTERNGREENLAND	200408221409A

SWEM	B	2004	8	26	17	0	8.00	75.7500	-58.2500	10.0	0.0	4.8	WESTERNGREENLAND	200408261700A

SWEM	B	2004	9	20	5	11	4.00	68.5000	-33.5000	10.0	0.0	4.8	EASTERNGREENLAND	200409200511A

SWEM	C	2004	9	26	7	46	16.00	72.7500	-54.2500	10.0	0.0	4.8	WESTERNGREENLAND	200409260746A

SWEM	C	2004	11	1	16	39	12.00	69.2500	-32.2500	10.0	0.0	5.0	EASTERNGREENLAND	200411011639A

SWEM	E	2004	11	2	22	6	40.00	67.0000	-37.0000	10.0	0.0	4.8	EASTERNGREENLAND	200411022206B

SWEM	B	2004	11	20	7	29	28.00	75.7500	-60.7500	10.0	0.0	4.9	BAFFINBAY	200411200729A

SWEM	A	2004	11	24	3	44	24.00	76.2500	-60.7500	10.0	0.0	4.8	WESTERNGREENLAND	200411240344A

SWEM	C	2004	11	24	20	55	12.00	69.5000	-33.5000	10.0	0.0	4.7	EASTERNGREENLAND	200411242055A

SWEM	B	2004	12	16	14	53	12.00	76.2500	-61.7500	10.0	0.0	4.8	WESTERNGREENLAND	200412161453A

SWEM	B	2004	12	30	17	6	0.00	76.2500	-60.7500	10.0	0.0	4.8	WESTERNGREENLAND	200412301706A

SWEM	A	2005	1	2	7	26	0.00	75.5000	-57.5000	10.0	0.0	4.9	WESTERNGREENLAND	200501020726A

SWEM	C	2005	1	7	18	35	4.00	69.0000	-33.0000	10.0	0.0	4.8	EASTERNGREENLAND	200501071835A

SWEM	C	2005	1	10	3	19	44.00	78.5000	-67.5000	10.0	0.0	4.7	WESTERNGREENLAND	200501100319A

SWEM	A	2005	1	12	20	39	4.00	68.7500	-33.2500	10.0	0.0	5.1	EASTERNGREENLAND	200501122039B

SWEM	E	2005	2	6	6	24	8.00	67.0000	-37.0000	10.0	0.0	4.9	EASTERNGREENLAND	200502060624A

SWEM	B	2005	2	11	6	55	20.00	66.7500	-38.2500	10.0	0.0	5.0	EASTERNGREENLAND	200502110655A

SWEM	B	2005	2	19	13	29	36.00	66.7500	-37.7500	10.0	0.0	4.9	EASTERNGREENLAND	200502191329A

SWEM	C	2005	3	20	8	5	4.00	68.5000	-33.5000	10.0	0.0	4.8	EASTERNGREENLAND	200503200805A

SWEM	B	2005	4	5	12	28	0.00	65.7500	-38.2500	10.0	0.0	4.8	EASTERNGREENLAND	200504051228A

SWEM	A	2005	4	5	13	3	28.00	65.7500	-37.7500	10.0	0.0	4.8	EASTERNGREENLAND	200504051303A

SWEM	A	2005	4	6	16	41	20.00	68.7500	-32.7500	10.0	0.0	4.9	EASTERNGREENLAND	200504061641B

SWEM	A	2005	4	23	2	10	8.00	66.7500	-37.7500	10.0	0.0	5.0	EASTERNGREENLAND	200504230210A

SWEM	A	2005	4	26	6	13	36.00	68.5000	-33.5000	10.0	0.0	4.8	EASTERNGREENLAND	200504260613A

SWEM	A	2005	5	12	17	23	20.00	66.7500	-38.7500	10.0	0.0	5.0	EASTERNGREENLAND	200505121723A

SWEM	A	2005	5	12	19	16	56.00	66.2500	-38.2500	10.0	0.0	4.9	EASTERNGREENLAND	200505121916A

SWEM	B	2005	6	11	16	10	56.00	76.2500	-59.7500	10.0	0.0	4.8	WESTERNGREENLAND	200506111610A

SWEM	A	2005	6	16	13	57	44.00	66.5000	-39.5000	10.0	0.0	4.9	EASTERNGREENLAND	200506161357A

SWEM	C	2005	7	7	5	9	44.00	65.5000	-40.5000	10.0	0.0	4.6	WESTERNGREENLAND	200507070509A

SWEM	A	2005	7	11	21	53	20.00	66.5000	-38.5000	10.0	0.0	4.9	EASTERNGREENLAND	200507112153A

SWEM	B	2005	7	17	2	30	56.00	71.2500	-50.2500	10.0	0.0	4.8	WESTERNGREENLAND	200507170230A

SWEM	C	2005	7	28	0	45	4.00	65.2500	-41.2500	10.0	0.0	4.8	WESTERNGREENLAND	200507280045A

SWEM	B	2005	7	28	12	22	40.00	71.7500	-29.2500	10.0	0.0	4.8	EASTERNGREENLAND	200507281222A

SWEM	C	2005	7	28	12	37	36.00	71.7500	-29.7500	10.0	0.0	4.7	EASTERNGREENLAND	200507281237A

SWEM	A	2005	7	30	20	28	48.00	69.2500	-48.7500	10.0	0.0	4.8	WESTERNGREENLAND	200507302028A

SWEM	B	2005	8	2	13	28	48.00	71.7500	-29.2500	10.0	0.0	4.8	EASTERNGREENLAND	200508021328A

SWEM	B	2005	8	3	0	58	0.00	73.2500	-54.2500	10.0	0.0	4.7	WESTERNGREENLAND	200508030058A

SWEM	A	2005	8	11	6	1	36.00	66.7500	-38.2500	10.0	0.0	4.9	EASTERNGREENLAND	200508110601A

SWEM	B	2005	8	11	6	40	8.00	65.5000	-38.5000	10.0	0.0	4.8	EASTERNGREENLAND	200508110640A

SWEM	C	2005	8	12	13	11	44.00	69.2500	-32.2500	10.0	0.0	4.8	EASTERNGREENLAND	200508121311A

SWEM	A	2005	8	12	19	30	48.00	77.5000	-66.5000	10.0	0.0	4.8	WESTERNGREENLAND	200508121930A

SWEM	B	2005	8	14	3	33	4.00	66.2500	-38.7500	10.0	0.0	4.9	EASTERNGREENLAND	200508140333A

SWEM	A	2005	8	16	0	56	40.00	69.7500	-50.2500	10.0	0.0	4.9	WESTERNGREENLAND	200508160056A

SWEM	C	2005	8	17	14	17	52.00	69.0000	-33.0000	10.0	0.0	4.7	EASTERNGREENLAND	200508171417A

